UID,GUID,TSCSystemKey,ProjectId,Ethid,LangID,Type,ProjectName,TSCRptName,TitleName,WebProductList,SponsorBeginYr,CurrEndYr,ActiveFlag,ReqFundingFlag,MktAsClusterFlag,Region,WebCountry,TSCPopTotal,PrayerCommits,PrayerCommitNeed,PrayerCommitGoal,LifetimeGivingAndPledgeBal,LifetimeOpp,LifetimeTotalNeed
70456-4518,UID7045604518,7045600342,70456,4518,342,Language,Tagasa Cluster 2,Pitsuha,Tagasa Cluster 2-Pitsuha,Genesis Jesus Film Old Testament Portions-not Genesis,2012,2020,Y,Y,N,Asia,SE Asia,7500,8,2,10,501,69906.52,70407.52
70456-4584,UID7045604584,7045600349,70456,4584,349,Language,Tagasa Cluster 2,Matwafi,Tagasa Cluster 2-Matwafi,Genesis Jesus Film Old Testament Portions-not Genesis,2012,2016,Y,Y,N,Asia,SE Asia,20000,8,2,10,501,69906.52,70407.52
70456-4623,UID7045604623,7045600353,70456,4623,353,Language,Tagasa Cluster 2,Folbanu,Tagasa Cluster 2-Folbanu,Genesis Jesus Film Old Testament Portions-not Genesis,2012,2020,Y,Y,N,Asia,SE Asia,27200,8,2,10,501,69906.52,70407.52
20464-,UID2046400000,20464,20464,NULL,NULL,Project,Tal,NULL,Tal,Jesus Film New Testament Portions-not a Gospel,2014,2016,Y,Y,N,Africa,Nigeria,26000,4,6,10,67000.52,0,67000.52
40275-,UID4027500000,40275,40275,NULL,NULL,Project,Talapatra Cluster,NULL,Talapatra Cluster,A Gospel Jesus Film New Testament Portions-not a Gospel,2016,2019,Y,Y,Y,Asia - South,S Asia,2455000,24,36,60,428072.66,400503.62,828576.28
40275-18600,UID4027518600,4027500977,40275,18600,977,Language,Talapatra Cluster,Ormid,Talapatra Cluster-Ormid,A Gospel Jesus Film New Testament Portions-not a Gospel,2013,2019,Y,Y,N,Asia - South,S Asia,202000,4,6,10,71345.45,66750.6,138096.05
40275-18601,UID4027518601,4027500978,40275,18601,978,Language,Talapatra Cluster,Oriuk,Talapatra Cluster-Oriuk,A Gospel Jesus Film New Testament Portions-not a Gospel,2013,2019,Y,Y,N,Asia - South,S Asia,916000,4,6,10,71345.44,66750.61,138096.05
40275-19017,UID4027519017,4027501414,40275,19017,1414,Language,Talapatra Cluster,Oraja,Talapatra Cluster-Oraja,A Gospel Jesus Film New Testament Portions-not a Gospel,2015,2019,Y,Y,N,Asia - South,S Asia,350000,4,6,10,71345.45,66750.6,138096.05
40275-19018,UID4027519018,4027501415,40275,19018,1415,Language,Talapatra Cluster,Obika,Talapatra Cluster-Obika,A Gospel Jesus Film New Testament Portions-not a Gospel,2015,2019,Y,Y,N,Asia - South,S Asia,180000,4,6,10,71345.44,66750.61,138096.05
40275-3669,UID4027503669,4027500224,40275,3669,224,Language,Talapatra Cluster,Ortag,Talapatra Cluster-Ortag,A Gospel Jesus Film New Testament Portions-not a Gospel,2012,2019,Y,Y,N,Asia - South,S Asia,7000,4,6,10,71345.44,66750.61,138096.05
40275-3698,UID4027503698,4027500237,40275,3698,237,Language,Talapatra Cluster,Orjay,Talapatra Cluster-Orjay,A Gospel Jesus Film New Testament Portions-not a Gospel,2012,2019,Y,Y,N,Asia - South,S Asia,800000,4,6,10,71345.44,66750.61,138096.05
30305-,UID3030500000,30305,30305,NULL,NULL,Project,Talya,NULL,Talya,A Gospel,2015,2017,Y,Y,N,Asia,undisclosed,1000,4,6,10,59314.3,0,59314.3
20385-,UID2038500000,20385,20385,NULL,NULL,Project,Tandjile Oral Cluster,NULL,Tandjile Oral Cluster,Bible Stories,2016,2017,Y,Y,Y,Africa,Chad,30310,9,21,30,46541.53,88096.07,134637.6
20385-19087,UID2038519087,2038501495,20385,19087,1495,Language,Tandjile Oral Cluster,Kabalaye,Tandjile Oral Cluster-Kabalaye,Bible Stories,2016,2017,Y,Y,N,Africa,Chad,17900,3,7,10,15513.84,29365.36,44879.2
20385-19366,UID2038519366,2038501783,20385,19366,1783,Language,Tandjile Oral Cluster,Moulgui,Tandjile Oral Cluster-Moulgui,Bible Stories,2016,2017,Y,Y,N,Africa,Chad,5000,3,7,10,15513.85,29365.35,44879.2
20385-19367,UID2038519367,2038501784,20385,19367,1784,Language,Tandjile Oral Cluster,Soumraye,Tandjile Oral Cluster-Soumraye,Bible Stories,2016,2017,Y,Y,N,Africa,Chad,7410,3,7,10,15513.84,29365.36,44879.2
25530-,UID2553000000,25530,25530,NULL,NULL,Project,Tarok OT,NULL,Tarok OT,Full Old Testament,2010,2017,Y,Y,N,Africa,Nigeria,523000,5,5,10,127549.5,48408.37,175957.87
50146-,UID5014600000,50146,50146,NULL,NULL,Project,TELN Cluster,NULL,TELN Cluster,Old Testament Portions-not Genesis,2016,2017,Y,Y,Y,Americas,Brazil,33490,24,36,60,26666.74,55077.93,81744.67
50146-18732,UID5014618732,5014601110,50146,18732,1110,Language,TELN Cluster,Curto,TELN Cluster-Curto,Old Testament Portions-not Genesis,2016,2017,Y,Y,N,Americas,Brazil,260,4,6,10,5333.35,11015.59,16348.94
50146-18742,UID5014618742,5014601120,50146,18742,1120,Language,TELN Cluster,Jami,TELN Cluster-Jami,Old Testament Portions-not Genesis,2014,2017,Y,Y,N,Americas,Brazil,1300,4,6,10,0,0,0
50146-19241,UID5014619241,5014601651,50146,19241,1651,Language,TELN Cluster,Hawa,TELN Cluster-Hawa,Old Testament Portions-not Genesis,2016,2017,Y,Y,N,Americas,Brazil,450,4,6,10,5333.35,11015.59,16348.94
50146-19245,UID5014619245,5014601655,50146,19245,1655,Language,TELN Cluster,Paco,TELN Cluster-Paco,Old Testament Portions-not Genesis,2016,2017,Y,Y,N,Americas,Brazil,14300,4,6,10,5333.35,11015.59,16348.94
50146-19356,UID5014619356,5014601773,50146,19356,1773,Language,TELN Cluster,Bawa,TELN Cluster-Bawa,Old Testament Portions-not Genesis,2016,2017,Y,Y,N,Americas,Brazil,15680,4,6,10,5333.35,11015.59,16348.94
50146-19357,UID5014619357,5014601774,50146,19357,1774,Language,TELN Cluster,Nedi,TELN Cluster-Nedi,Old Testament Portions-not Genesis,2016,2017,Y,Y,N,Americas,Brazil,1500,4,6,10,5333.34,11015.59,16348.93
20247-,UID2024700000,20247,20247,NULL,NULL,Project,Tharaka 2,NULL,Tharaka 2,Full Bible,2017,2017,Y,N,N,Africa,Kenya,112000,6,4,10,35035,0,35035
50117-,UID5011700000,50117,50117,NULL,NULL,Project,Toba 3,NULL,Toba 3,Full New Testament,2017,2020,Y,Y,N,Americas,Paraguay,900,2,8,10,406,60942.69,61348.69
20154-,UID2015400000,20154,20154,NULL,NULL,Project,Tonka,NULL,Tonka,Old Testament Portions-not Genesis,2015,2018,Y,Y,N,Africa,Africa,738000,4,6,10,104139.66,15282.3,119421.96
411-,UID0041100000,41100,411,NULL,NULL,Project,Trabhat NT,NULL,Trabhat NT,Full New Testament,2001,2017,Y,Y,N,Asia - South,S Asia,600000,12,0,10,146998.26,0,146998.26
50133-,UID5013300000,50133,50133,NULL,NULL,Project,Trawler,NULL,Trawler,New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2013,2017,Y,Y,N,Americas,Brazil,530,12,0,10,97199,0,97199
59900-,UID5990000000,59900,59900,NULL,NULL,Project,Tree,NULL,Tree,Full New Testament,2013,2017,Y,Y,N,Americas,Mexico,10000,423,0,10,68981.19,0,68981.19
40545-,UID4054500000,40545,40545,NULL,NULL,Project,Tubhalu,NULL,Tubhalu,Bible Stories Full New Testament,2016,2019,Y,Y,N,Asia - South,S Asia,1720000,4,6,10,30900.98,104344.88,135245.86
20103-,UID2010300000,20103,20103,NULL,NULL,Project,Tuki 2,NULL,Tuki 2,Bible Stories New Testament Portions-not a Gospel,2014,2017,Y,N,N,Africa,Cameroon,26000,6,4,10,62753.21,25256.87,88010.08
40276-,UID4027600000,40276,40276,NULL,NULL,Project,Twig Cluster 2,NULL,Twig Cluster 2,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2017,2019,Y,Y,Y,Asia - South,S Asia,720000,60,0,60,482759.66,608155.93,1090915.59
40276-6157,UID4027606157,4027600443,40276,6157,443,Language,Twig Cluster 2,Acacia,Twig Cluster 2-Acacia,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2010,2019,Y,Y,N,Asia - South,S Asia,10000,10,0,10,76922.37,104896.9,181819.27
40276-6216,UID4027606216,4027600444,40276,6216,444,Language,Twig Cluster 2,Branchu,Twig Cluster 2-Branchu,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,1999,2019,Y,Y,N,Asia - South,S Asia,400000,10,0,10,77097.37,104721.9,181819.27
40276-6219,UID4027606219,4027600445,40276,6219,445,Language,Twig Cluster 2,Lilac,Twig Cluster 2-Lilac,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2010,2019,Y,Y,N,Asia - South,S Asia,16000,10,0,10,76922.35,104896.92,181819.27
40276-6263,UID4027606263,4027600929,40276,6263,929,Language,Twig Cluster 2,Wanchi,Twig Cluster 2-Wanchi,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2013,2019,Y,Y,N,Asia - South,S Asia,277000,10,0,10,76922.37,104896.9,181819.27
40276-6281,UID4027606281,4027600449,40276,6281,449,Language,Twig Cluster 2,Yucca,Twig Cluster 2-Yucca,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2010,2019,Y,Y,N,Asia - South,S Asia,15000,10,0,10,97972.85,83846.42,181819.27
40276-6283,UID4027606283,4027600450,40276,6283,450,Language,Twig Cluster 2,Yew,Twig Cluster 2-Yew,A Gospel New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2010,2019,Y,Y,N,Asia - South,S Asia,2000,10,0,10,76922.35,104896.92,181819.27
20565-,UID2056500000,20565,20565,NULL,NULL,Project,Volta Region Cluster 2,NULL,Volta Region Cluster 2,Genesis,2016,2019,Y,Y,Y,Africa,Ghana,118000,12,28,40,44502.19,282321.79,326823.98
20565-3305,UID2056503305,2056500171,20565,3305,171,Language,Volta Region Cluster 2,Sekpele,Volta Region Cluster 2-Sekpele,Genesis,1999,2019,Y,Y,N,Africa,Ghana,23400,3,7,10,11125.55,70580.45,81706
20565-3306,UID2056503306,2056500172,20565,3306,172,Language,Volta Region Cluster 2,Sele,Volta Region Cluster 2-Sele,Genesis,1999,2019,Y,Y,N,Africa,Ghana,11300,3,7,10,11125.55,70580.45,81706
20565-3310,UID2056503310,2056500174,20565,3310,174,Language,Volta Region Cluster 2,Siwu,Volta Region Cluster 2-Siwu,Genesis,1999,2019,Y,Y,N,Africa,Ghana,71900,3,7,10,11125.55,70580.45,81706
20565-3314,UID2056503314,2056500175,20565,3314,175,Language,Volta Region Cluster 2,Tuwuli,Volta Region Cluster 2-Tuwuli,Genesis,1999,2019,Y,Y,N,Africa,Ghana,11400,3,7,10,11125.54,70580.45,81705.99
50664-,UID5066400000,50664,50664,NULL,NULL,Project,Vostok Cluster,NULL,Vostok Cluster,Bible Stories,2014,2017,Y,N,Y,Eurasia,Eurasia,3320,33,7,40,189697,0,189697
50664-18806,UID5066418806,5066401184,50664,18806,1184,Language,Vostok Cluster,Narna,Vostok Cluster-Narna,Bible Stories,2014,2017,Y,N,N,Eurasia,Eurasia,1350,8,2,10,47424.25,0,47424.25
50664-18807,UID5066418807,5066401185,50664,18807,1185,Language,Vostok Cluster,Noman,Vostok Cluster-Noman,Bible Stories,2014,2017,Y,N,N,Eurasia,Eurasia,200,8,2,10,47424.25,0,47424.25
50664-18808,UID5066418808,5066401186,50664,18808,1186,Language,Vostok Cluster,Ushat,Vostok Cluster-Ushat,Bible Stories,2014,2017,Y,N,N,Eurasia,Eurasia,100,9,1,10,47424.25,0,47424.25
50664-18809,UID5066418809,5066401187,50664,18809,1187,Language,Vostok Cluster,Kojak,Vostok Cluster-Kojak,Bible Stories,2014,2017,Y,N,N,Eurasia,Eurasia,1670,8,2,10,47424.25,0,47424.25
21395-,UID2139500000,21395,21395,NULL,NULL,Project,Waama,NULL,Waama,Bible Stories Old Testament Portions-not Genesis,2016,2018,Y,Y,N,Africa,Benin,70000,6,4,10,25607.32,128126.24,153733.56
70224-,UID7022400000,70224,70224,NULL,NULL,Project,Waima Cluster,NULL,Waima Cluster,A Gospel Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2017,Y,Y,Y,Pacific,Papua New Guinea,25500,56,0,40,45949,0,45949
70224-18786,UID7022418786,7022401164,70224,18786,1164,Language,Waima Cluster,Doura,Waima Cluster-Doura,A Gospel Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2017,Y,Y,N,Pacific,Papua New Guinea,2000,14,0,10,11249.75,0,11249.75
70224-18787,UID7022418787,7022401165,70224,18787,1165,Language,Waima Cluster,Gabadi,Waima Cluster-Gabadi,A Gospel Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2017,Y,Y,N,Pacific,Papua New Guinea,5000,14,0,10,11249.75,0,11249.75
70224-18788,UID7022418788,7022401166,70224,18788,1166,Language,Waima Cluster,Waima,Waima Cluster-Waima,A Gospel Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2017,Y,Y,N,Pacific,Papua New Guinea,15000,14,0,10,12199.75,0,12199.75
70224-18818,UID7022418818,7022401196,70224,18818,1196,Language,Waima Cluster,Nara,Waima Cluster-Nara,A Gospel Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2017,Y,Y,N,Pacific,Papua New Guinea,3500,14,0,10,11249.75,0,11249.75
20184-,UID2018400000,20184,20184,NULL,NULL,Project,Waja,NULL,Waja,New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2016,Y,Y,N,Africa,Nigeria,60000,12,0,10,29700,0,29700
26693-,UID2669300000,26693,26693,NULL,NULL,Project,Wamey,NULL,Wamey,Full New Testament Genesis,2013,2018,Y,Y,N,Africa,Senegal,18000,10,0,10,67735.62,18533.06,86268.68
20504-,UID2050400000,20504,20504,NULL,NULL,Project,Wantu,NULL,Wantu,Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2016,2018,Y,Y,N,Africa,Malawi,3116000,4,6,10,92289.82,71604.5,163894.32
30315-,UID3031500000,30315,30315,NULL,NULL,Project,Way,NULL,Way,A Gospel,2016,2018,Y,Y,N,Asia,undisclosed,16000,6,4,10,30611.27,135279.44,165890.71
21095-,UID2109500000,21095,21095,NULL,NULL,Project,Weno,NULL,Weno,Genesis New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2017,2019,Y,Y,N,Africa,West Africa,200000,2,8,10,0,139561.93,139561.93
20376-,UID2037600000,20376,20376,NULL,NULL,Project,Wodaabe,NULL,Wodaabe,,2017,2019,Y,Y,N,Africa,Africa,450000,0,10,10,0,126300.28,126300.28
27800-,UID2780000000,27800,27800,NULL,NULL,Project,Xamtanga,NULL,Xamtanga,New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2007,2017,Y,Y,N,Africa,Ethiopia,300000,15,0,10,228093,14722.95,242815.95
30386-,UID3038600000,30386,30386,NULL,NULL,Project,Yamka,NULL,Yamka,Bible Stories,2017,2018,Y,Y,N,Asia,undisclosed,4000,3,7,10,0,100999.6,100999.6
20306-,UID2030600000,20306,20306,NULL,NULL,Project,Yao,NULL,Yao,Bible Stories Full New Testament Genesis Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Africa,Tanzania,500000,3,7,10,158890.61,0,158890.61
70275-,UID7027500000,70275,70275,NULL,NULL,Project,Yef 2,NULL,Yef 2,Bible Stories,2015,2017,Y,Y,N,Asia,SE Asia,1200,6,4,10,17987,0,17987
25991-,UID2599100000,25991,25991,NULL,NULL,Project,Yemba NT,NULL,Yemba NT,Full New Testament,2015,2017,Y,Y,N,Africa,Cameroon,300000,7,3,10,205154.04,0,205154.04
30206-,UID3020600000,30206,30206,NULL,NULL,Project,Yene,NULL,Yene,A Gospel Bible Stories New Testament Portions-not a Gospel,2016,2019,Y,Y,N,Asia,undisclosed,55000,34,0,10,11909.85,168475.12,180384.97
70336-,UID7033600000,70336,70336,NULL,NULL,Project,Zabana,NULL,Zabana,Full Old Testament,2016,2019,Y,Y,N,Pacific,Solomon Islands,3600,2,8,10,4451.56,71393.98,75845.54
50694-,UID5069400000,50694,50694,NULL,NULL,Project,Zapoteco del Istmo,NULL,Zapoteco del Istmo,Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Americas,Mexico,250000,11,0,10,155705.85,0,155705.85
