UID,GUID,TSCSystemKey,ProjectId,Ethid,LangID,Type,ProjectName,TSCRptName,TitleName,WebProductList,SponsorBeginYr,CurrEndYr,ActiveFlag,ReqFundingFlag,MktAsClusterFlag,Region,WebCountry,TSCPopTotal,PrayerCommits,PrayerCommitNeed,PrayerCommitGoal,LifetimeGivingAndPledgeBal,LifetimeOpp,LifetimeTotalNeed
70466-18854,UID7046618854,7046601232,70466,18854,1232,Language,Robeno 2 Cluster,Gaijo,Robeno 2 Cluster-Gaijo,A Gospel Jesus Film,2014,2020,Y,Y,N,Asia,SE Asia,29200,1,9,10,1294.65,62169.58,63464.23
70466-18855,UID7046618855,7046601233,70466,18855,1233,Language,Robeno 2 Cluster,Labaning,Robeno 2 Cluster-Labaning,A Gospel Jesus Film,2014,2020,Y,Y,N,Asia,SE Asia,50000,1,9,10,1294.65,62169.58,63464.23
70466-18865,UID7046618865,7046601243,70466,18865,1243,Language,Robeno 2 Cluster,Kahak,Robeno 2 Cluster-Kahak,A Gospel Jesus Film,2014,2020,Y,Y,N,Asia,SE Asia,400200,1,9,10,1294.65,62169.58,63464.23
70466-4240,UID7046604240,7046600323,70466,4240,323,Language,Robeno 2 Cluster,Dakaney,Robeno 2 Cluster-Dakaney,A Gospel Jesus Film,2010,2020,Y,Y,N,Asia,SE Asia,321000,1,9,10,1294.65,62169.58,63464.23
27000-,UID2700000000,27000,27000,NULL,NULL,Project,Ron NT,NULL,Ron NT,Full New Testament Old Testament Portions-not Genesis,2006,2017,Y,N,N,Africa,Nigeria,115000,8,2,10,209846.51,26685.65,236532.16
40315-,UID4031500000,40315,40315,NULL,NULL,Project,Rothra,NULL,Rothra,A Gospel Bible Stories Jesus Film,2016,2019,Y,Y,N,Asia - South,S Asia,4700000,14,0,10,21575.93,101448.9,123024.83
30376-,UID3037600000,30376,30376,NULL,NULL,Project,Rudu,NULL,Rudu,A Gospel Bible Stories,2017,2019,Y,Y,N,Asia,undisclosed,14225,1,9,10,5000,123430.91,128430.91
20193-,UID2019300000,20193,20193,NULL,NULL,Project,Ruruuli-Runyala,NULL,Ruruuli-Runyala,New Testament Portions-not a Gospel,2016,2019,Y,Y,N,Africa,Uganda,165000,2,8,10,60773.61,157726.01,218499.62
434-,UID0043400000,43400,434,NULL,NULL,Project,Rutara NT,NULL,Rutara NT,New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2005,2018,Y,Y,N,Asia - South,S Asia,200000,11,0,10,34735.28,0,34735.28
20295-,UID2029500000,20295,20295,NULL,NULL,Project,S Sudanese Sign Language,NULL,S Sudanese Sign Language,Bible Stories,2015,2019,Y,Y,N,Africa,South Sudan,82600,6,4,10,265241.5,343024.15,608265.65
20664-,UID2066400000,20664,20664,NULL,NULL,Project,Saho,NULL,Saho,Bible Stories New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2014,2020,Y,Y,N,Africa,Ethiopia,230000,15,0,10,323904.21,0,323904.21
50217-,UID5021700000,50217,50217,NULL,NULL,Project,Sal y Luz,NULL,Sal y Luz,Bible Stories,2017,2020,Y,Y,Y,Americas,Mexico,13105,0,50,50,0,129934.29,129934.29
50217-19733,UID5021719733,5021702150,50217,19733,2150,Language,Sal y Luz,Mixe de Tepantlali,Sal y Luz-Mixe de Tepantlali,Bible Stories,2017,2020,Y,Y,N,Americas,Mexico,3505,0,10,10,0,25986.86,25986.86
50217-19734,UID5021719734,5021702151,50217,19734,2151,Language,Sal y Luz,Mixteco Tlazayoltepec,Sal y Luz-Mixteco Tlazayoltepec,Bible Stories,2017,2020,Y,Y,N,Americas,Mexico,4900,0,10,10,0,25986.86,25986.86
50217-19735,UID5021719735,5021702152,50217,19735,2152,Language,Sal y Luz,Mixteco  Chigmecatitlan,Sal y Luz-Mixteco  Chigmecatitlan,Bible Stories,2017,2020,Y,Y,N,Americas,Mexico,1800,0,10,10,0,25986.86,25986.86
50217-19736,UID5021719736,5021702153,50217,19736,2153,Language,Sal y Luz,Popoloca de Otlaltepec,Sal y Luz-Popoloca de Otlaltepec,Bible Stories,2017,2020,Y,Y,N,Americas,Mexico,1900,0,10,10,0,25986.86,25986.86
50217-19737,UID5021719737,5021702154,50217,19737,2154,Language,Sal y Luz,Zapoteco de Yojovi,Sal y Luz-Zapoteco de Yojovi,Bible Stories,2017,2020,Y,Y,N,Americas,Mexico,1000,0,10,10,0,25986.86,25986.86
27700-,UID2770000000,27700,27700,NULL,NULL,Project,Samburu NT Cluster,NULL,Samburu NT Cluster,Full New Testament New Testament Portions-not a Gospel Old Testament Portions-not Genesis,2007,2017,Y,Y,Y,Africa,Kenya,160000,11,0,10,634068.82,0,634068.82
30216-,UID3021600000,30216,30216,NULL,NULL,Project,Samuk,NULL,Samuk,A Gospel Jesus Film,2017,2019,Y,Y,N,Asia,undisclosed,10000,1,9,10,31862,74153.53,106015.53
20156-,UID2015600000,20156,20156,NULL,NULL,Project,San Cluster 2,NULL,San Cluster 2,Bible Stories,2016,2018,Y,Y,Y,Africa,Botswana,68900,1540,0,110,48573.5,474401.46,522974.96
20156-18571,UID2015618571,2015600948,20156,18571,948,Language,San Cluster 2,Naro,San Cluster 2-Naro,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,10000,140,0,10,0,4189.46,4189.46
20156-18572,UID2015618572,2015600949,20156,18572,949,Language,San Cluster 2,Caprivi Region Khwedam,San Cluster 2-Caprivi Region Khwedam,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,8000,140,0,10,0,4189.46,4189.46
20156-18573,UID2015618573,2015600950,20156,18573,950,Language,San Cluster 2,!Xoon,San Cluster 2-!Xoon,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,2600,140,0,10,0,4189.46,4189.46
20156-18574,UID2015618574,2015600951,20156,18574,951,Language,San Cluster 2,Mangetti Dune !Kung,San Cluster 2-Mangetti Dune !Kung,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,6900,140,0,10,0,4189.46,4189.46
20156-18575,UID2015618575,2015600952,20156,18575,952,Language,San Cluster 2,Gobabis !Kung,San Cluster 2-Gobabis !Kung,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,5000,140,0,10,0,4189.46,4189.46
20156-18576,UID2015618576,2015600953,20156,18576,953,Language,San Cluster 2,Tsumkwe !Kung,San Cluster 2-Tsumkwe !Kung,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,4000,140,0,10,0,4189.46,4189.46
20156-18577,UID2015618577,2015600954,20156,18577,954,Language,San Cluster 2,|Gui & ||Gana,San Cluster 2-|Gui & ||Gana,Bible Stories,2013,2018,Y,Y,N,Africa,Botswana,6000,140,0,10,0,4189.46,4189.46
20156-19362,UID2015619362,2015601779,20156,19362,1779,Language,San Cluster 2,Hai ||om,San Cluster 2-Hai ||om,Bible Stories,2016,2018,Y,Y,N,Africa,Botswana,18400,140,0,10,12143.38,111268.81,123412.19
20156-19363,UID2015619363,2015601780,20156,19363,1780,Language,San Cluster 2,Shua,San Cluster 2-Shua,Bible Stories,2016,2018,Y,Y,N,Africa,Botswana,6000,140,0,10,12143.37,111268.81,123412.18
20156-19364,UID2015619364,2015601781,20156,19364,1781,Language,San Cluster 2,Tswao,San Cluster 2-Tswao,Bible Stories,2016,2018,Y,Y,N,Africa,Botswana,1000,140,0,10,12143.38,111268.81,123412.19
20156-19365,UID2015619365,2015601782,20156,19365,1782,Language,San Cluster 2,Ts'ixa,San Cluster 2-Ts'ixa,Bible Stories,2016,2018,Y,Y,N,Africa,Botswana,1000,140,0,10,12143.37,111268.81,123412.18
30144-,UID3014400000,30144,30144,NULL,NULL,Project,Sandalwood Cluster,NULL,Sandalwood Cluster,Full New Testament Genesis,2013,2017,Y,Y,Y,Asia,Timor,131000,20,30,50,262504.29,19796.51,282300.8
30144-10770,UID3014410770,3014400809,30144,10770,809,Language,Sandalwood Cluster,Lole,Sandalwood Cluster-Lole,Full New Testament Genesis,2006,2016,Y,Y,N,Asia,Timor,20000,4,6,10,66660.91,6483.84,73144.75
30144-10778,UID3014410778,3014400810,30144,10778,810,Language,Sandalwood Cluster,Rikou,Sandalwood Cluster-Rikou,Full New Testament Genesis,2006,2017,Y,Y,N,Asia,Timor,10000,4,6,10,62356.77,6703.84,69060.61
30144-4515,UID3014404515,3014400340,30144,4515,340,Language,Sandalwood Cluster,Dela,Sandalwood Cluster-Dela,Full New Testament Genesis,2006,2016,Y,Y,N,Asia,Timor,7000,4,6,10,62626.78,6703.84,69330.62
21144-,UID2114400000,21144,21144,NULL,NULL,Project,Saxwe,NULL,Saxwe,A Gospel New Testament Portions-not a Gospel,2017,2019,Y,Y,N,Africa,Benin,170000,3,7,10,61531,164273.46,225804.46
20335-,UID2033500000,20335,20335,NULL,NULL,Project,Selous Cluster,NULL,Selous Cluster,Genesis Old Testament Portions-not Genesis,2015,2017,Y,Y,Y,Africa,Tanzania,248000,3,7,10,221199,207639.79,428838.79
20335-9199,UID2033509199,2033500696,20335,9199,696,Language,Selous Cluster,Utuki,Selous Cluster-Utuki,Genesis Old Testament Portions-not Genesis,2008,2017,Y,Y,N,Africa,Tanzania,45000,0,0,10,72574.99,69334.6,141909.59
20335-9203,UID2033509203,2033500697,20335,9203,697,Language,Selous Cluster,Rewe,Selous Cluster-Rewe,Genesis Old Testament Portions-not Genesis,2006,2017,Y,Y,N,Africa,Tanzania,171000,0,0,10,74257.01,69334.6,143591.61
20335-9273,UID2033509273,2033500713,20335,9273,713,Language,Selous Cluster,Vidunda,Selous Cluster-Vidunda,Genesis Old Testament Portions-not Genesis,2007,2017,Y,Y,N,Africa,Tanzania,32000,0,0,10,74367,68970.6,143337.6
